,Guest Type
1,add-on:_quad_bike
2,add_on_4d_movie
3,add_on_express_lane
4,add_on_glassboat
5,add_on_skyglide_adult
6,adult
7,adult_beer
8,adult_double_cabin
9,adult_global_delivery
10,adult_kit_kat_cone
11,adult_non_resident
12,adult_resident
13,adult_twin_share_cabin
14,b1g1
15,buy_two_get_one
16,carer
17,child
18,child_non_resident
19,concession
20,disabled_person
21,discounted_tickets
22,eea_adult
23,eu_citizen
24,eur_adult
25,eur_child
26,eur_student
27,family
28,family_1_adult_1_child
29,family_1_adult_3_children
30,family_2_adult_1_child
31,family_2_adult_2_children
32,family_2_adult_2_children_resident
33,family_2_adult_3_children
34,family_2_adult_4_children
35,fast_kart_2r
36,female
37,general
38,group
39,group_of_1
40,group_of_2
41,group_of_2_adult
42,group_of_3
43,group_of_4
44,group_of_6
45,guest
46,guidebook
47,high_school_student
48,hour
49,indonesian_adult
50,infant
51,jet_car_2_seater
52,jet_car_4_seater
53,jet_ski_double_seater
54,locker
55,luge_add_on_1_ride
56,malaysian_adult
57,malaysian_child
58,male
59,military
60,non_-_eu_citizen
61,non_eea_adult
62,non_eur_child
63,non_eur_student
64,non_indonesian_adult
65,non_indonesian_child
66,non_malaysian_adult
67,non_malaysian_child
68,one_atv_double_seater
69,private_boat
70,private_gondola
71,private_group
72,quantity
73,reduced_price
74,regular_kart
75,room_for_2
76,room_for_3
77,room_for_4
78,senior
79,small_group
80,standard
81,student
82,swiss_half_fare_card
83,swiss_travel_pass
84,tandem
85,towel
86,unemployed
87,vehicle
88,vehicle_entey_car
89,vehicle_upto_4_guests
90,wow_pass_silver
91,youth
